Date,Category,Subcategory,Expenses,Income
2023-03-13,Groceries,Not specified,52.0,0.0
2023-03-13,Groceries,Not specified,47.0,0.0
2023-03-13,Eating out,Lunch,8.0,0.0
2023-03-13,Transport,Taxi,75.0,0.0
2023-03-13,Beauty,Cosmetics,394.0,0.0
2023-03-13,Eating out,Coffee,53.0,0.0
2023-03-13,Transport,Taxi,104.0,0.0
2023-03-14,Health,Pharmacy,94.0,0.0
2023-03-14,Groceries,Not specified,6.0,0.0
2023-03-15,Eating out,Food delivery,77.0,0.0
2023-03-16,Transport,Public transport,5.5,0.0
2023-03-23,Eating out,Food delivery,131.0,0.0
2023-03-24,Eating out,Food delivery,198.0,0.0
2023-03-26,Groceries,Not specified,190.53,0.0
2023-03-27,Health,Pharmacy,38.0,0.0
2023-03-27,Transport,Public transport,5.5,0.0
2023-03-27,Leisure,Videogames,36.0,0.0
2023-03-28,Subscriptions,Not specified,20.0,0.0
2023-03-30,Eating out,Food delivery,121.0,0.0
2023-03-30,Gifts,Not specified,317.0,0.0
2023-03-31,Transport,Public transport,42.0,0.0
2023-04-01,Eating out,Food delivery,164.0,0.0
2023-04-01,Leisure,Books,18.0,0.0
2023-04-02,Groceries,Not specified,207.0,0.0
2023-04-02,Groceries,Not specified,9.0,0.0
2023-04-03,Benefit,Not specified,0.0,5203.0
2023-04-03,Groceries,Not specified,11.0,0.0
2023-04-03,Groceries,Not specified,14.0,0.0
2023-04-03,Leisure,Books,20.0,0.0
2023-04-04,Leisure,"Cinema, theater, concerts",750.0,0.0
2023-04-04,Transport,Public transport,5.5,0.0
2023-04-04,Transport,Public transport,5.5,0.0
2023-04-08,Transport,Taxi,70.0,0.0
2023-04-08,Leisure,Activities,20.0,0.0
2023-04-09,House,Rent,4000.0,0.0
2023-04-09,Eating out,Food delivery,75.0,0.0
2023-04-10,Subscriptions,Not specified,20.0,0.0
2023-04-10,Health,Medical services,111.0,0.0
2023-04-10,Leisure,Books,20.0,0.0
2023-04-11,Transport,Public transport,5.5,0.0
2023-04-11,Subscriptions,Not specified,55.0,0.0
2023-04-11,Groceries,Not specified,17.6,0.0
2023-04-12,Eating out,Food delivery,262.0,0.0
2023-04-13,Health,Insurance,186.0,0.0
2023-04-13,Transport,Public transport,5.5,0.0
2023-04-13,Leisure,Museums,94.0,0.0
2023-04-13,Transport,Public transport,5.5,0.0
2023-04-13,Eating out,Food delivery,187.0,0.0
2023-04-13,Refund,Not specified,0.0,102.0
2023-04-14,Pets,Pet food,92.0,0.0
2023-04-16,Health,Pharmacy,162.0,0.0
2023-04-16,Hygiene,Not specified,37.0,0.0
2023-04-17,Eating out,Food delivery,137.0,0.0
2023-04-17,Groceries,Not specified,158.0,0.0
2023-04-18,Health,Pharmacy,38.0,0.0
2023-04-18,Groceries,Not specified,14.0,0.0
2023-04-18,Groceries,Not specified,27.0,0.0
2023-04-19,Leisure,Videogames,79.0,0.0
2023-04-21,Transport,Public transport,5.5,0.0
2023-04-21,Eating out,Lunch,44.0,0.0
2023-04-21,Transport,Public transport,5.5,0.0
2023-04-22,Groceries,Not specified,49.0,0.0
2023-04-23,Health,Medical services,113.0,0.0
2023-04-24,Health,Insurance,31.0,0.0
2023-04-24,Groceries,Not specified,38.0,0.0
2023-04-24,Eating out,Food delivery,127.0,0.0
2023-04-25,Subscriptions,Not specified,4.0,0.0
2023-04-25,Groceries,Not specified,19.0,0.0
2023-04-25,Leisure,Books,14.0,0.0
2023-04-26,Other,Not specified,14.0,0.0
2023-04-28,Travel,Insurance,54.0,0.0
2023-04-28,Transport,Public transport,5.5,0.0
2023-04-28,Clothes,Accesories,100.0,0.0
2023-04-28,Eating out,Lunch,20.0,0.0
2023-04-28,Transport,Public transport,5.5,0.0
2023-04-28,Leisure,Books,14.0,0.0
2023-04-29,Eating out,Food delivery,176.0,0.0
2023-04-30,Groceries,Not specified,38.0,0.0
2023-04-30,Groceries,Not specified,30.0,0.0
2023-04-30,Groceries,Not specified,36.0,0.0
2023-05-01,Transport,Public transport,5.5,0.0
2023-05-01,House,Furniture,40.0,0.0
2023-05-01,Eating out,Lunch,59.0,0.0
2023-05-01,Transport,Public transport,5.5,0.0
2023-05-01,Groceries,Not specified,20.0,0.0
2023-05-01,Subscriptions,Not specified,18.0,0.0
2023-05-02,Travel,Not specified,68.0,0.0
2023-05-03,Transport,Taxi,109.5,0.0
2023-05-03,Eating out,Fast food,51.0,0.0
2023-05-05,Leisure,Books,20.0,0.0
2023-05-07,Subscriptions,Not specified,20.0,0.0
2023-05-07,Health,Medical services,113.0,0.0
2023-05-07,Eating out,Food delivery,126.0,0.0
2023-05-08,Transport,Public transport,5.5,0.0
2023-05-09,House,Rent,4000.0,0.0
2023-05-09,Groceries,Not specified,45.0,0.0
2023-05-09,Groceries,Not specified,33.0,0.0
2023-05-10,Transport,Public transport,5.5,0.0
2023-05-10,Groceries,Not specified,13.0,0.0
2023-05-10,Eating out,Food delivery,160.0,0.0
2023-05-11,Health,Insurance,187.0,0.0
2023-05-11,Subscriptions,Not specified,55.0,0.0
2023-05-12,Transport,Public transport,5.5,0.0
2023-05-12,Benefit,Not specified,0.0,8130.0
2023-05-12,Eating out,Food delivery,223.0,0.0
2023-05-12,Leisure,Videogames,270.0,0.0
2023-05-14,Groceries,Not specified,99.0,0.0
2023-05-14,Eating out,Food delivery,81.0,0.0
2023-05-15,Transport,Public transport,5.5,0.0
2023-05-15,Transport,Taxi,19.0,0.0
2023-05-15,Gifts,Not specified,854.0,0.0
2023-05-16,Health,Pharmacy,114.0,0.0
2023-05-16,Groceries,Not specified,69.0,0.0
2023-05-19,Eating out,Food delivery,136.0,0.0
2023-05-19,Clothes,Adult,102.0,0.0
2023-05-19,Leisure,Hobbies,36.0,0.0
2023-05-21,Health,Medical services,109.0,0.0
2023-05-21,Groceries,Not specified,33.8,0.0
2023-05-21,Other,Not specified,40.0,0.0
2023-05-22,Transport,Public transport,5.5,0.0
2023-05-23,Eating out,Food delivery,85.0,0.0
2023-05-23,Eating out,Food delivery,122.0,0.0
2023-05-25,Subscriptions,Not specified,4.0,0.0
2023-05-25,Transport,Public transport,5.5,0.0
2023-05-25,Eating out,Coffee,25.0,0.0
2023-05-25,Eating out,Lunch,25.0,0.0
2023-05-25,Transport,Public transport,5.5,0.0
2023-05-26,Groceries,Not specified,49.0,0.0
2023-05-28,Health,Medical services,1200.0,0.0
2023-05-28,Health,Sport,100.0,0.0
2023-05-28,Eating out,Food delivery,128.0,0.0
2023-05-29,Transport,Public transport,5.5,0.0
2023-05-29,Hygiene,Not specified,58.0,0.0
2023-05-29,Groceries,Not specified,42.0,0.0
2023-05-30,Health,Insurance,31.43,0.0
2023-05-30,Transport,Public transport,5.5,0.0
2023-05-30,Groceries,Not specified,74.0,0.0
2023-05-30,Groceries,Not specified,73.0,0.0
2023-05-30,Leisure,"Cinema, theater, concerts",180.0,0.0
2023-05-31,Groceries,Not specified,146.0,0.0
2023-06-01,Subscriptions,Not specified,19.37,0.0
2023-06-01,Subscriptions,Not specified,32.0,0.0
2023-06-01,Part-time job,Not specified,0.0,100.0
2023-06-02,Eating out,Food delivery,134.0,0.0
2023-06-03,Leisure,Museums,200.0,0.0
2023-06-04,Health,Medical services,112.0,0.0
2023-06-04,Eating out,Food delivery,104.0,0.0
2023-06-04,Transport,Public transport,5.5,0.0
2023-06-04,Transport,Public transport,5.5,0.0
2023-06-05,Transport,Taxi,107.0,0.0
2023-06-06,Groceries,Not specified,240.0,0.0
2023-06-06,Other,Not specified,250.0,0.0
2023-06-06,Transport,Public transport,5.5,0.0
2023-06-06,Groceries,Not specified,22.0,0.0
2023-06-06,Transport,Public transport,5.5,0.0
2023-06-07,Subscriptions,Not specified,20.0,0.0
2023-06-07,Transport,Public transport,5.5,0.0
2023-06-07,Transport,Public transport,5.5,0.0
2023-06-08,Transport,Public transport,5.5,0.0
2023-06-08,Eating out,Lunch,61.0,0.0
2023-06-08,Transport,Taxi,74.0,0.0
2023-06-09,House,Rent,4000.0,0.0
2023-06-10,Eating out,Food delivery,237.0,0.0
2023-06-10,Gifts,Not specified,0.0,1000.0
2023-06-11,Health,Insurance,188.0,0.0
2023-06-11,Health,Pharmacy,216.0,0.0
2023-06-11,Groceries,Not specified,72.0,0.0
2023-06-11,Groceries,Not specified,41.0,0.0
2023-06-12,Subscriptions,Not specified,54.0,0.0
2023-06-12,Eating out,Food delivery,80.0,0.0
2023-06-13,Groceries,Not specified,9.4,0.0
2023-06-13,Health,Pharmacy,75.0,0.0
2023-06-13,Groceries,Not specified,69.0,0.0
2023-06-13,Health,Sport,150.0,0.0
2023-06-13,Benefit,Not specified,0.0,5854.0
2023-06-14,Groceries,Not specified,36.0,0.0
2023-06-14,Eating out,Food delivery,183.0,0.0
2023-06-15,Transport,Public transport,5.5,0.0
2023-06-15,Groceries,Not specified,14.0,0.0
2023-06-18,Health,Medical services,108.0,0.0
2023-06-18,Transport,Public transport,5.5,0.0
2023-06-18,Transport,Public transport,5.5,0.0
2023-06-20,Transport,Public transport,5.5,0.0
2023-06-20,Eating out,Lunch,40.0,0.0
2023-06-20,Transport,Public transport,5.5,0.0
2023-06-22,Transport,Public transport,5.5,0.0
2023-06-25,Subscriptions,Not specified,4.0,0.0
2023-06-25,Health,Pharmacy,45.7,0.0
2023-06-25,Groceries,Not specified,50.0,0.0
2023-06-26,House,Not specified,129.0,0.0
2023-06-27,Leisure,Hobbies,30.0,0.0
2023-06-29,Transport,Public transport,5.5,0.0
2023-06-29,Clothes,Adult,60.0,0.0
2023-06-29,Clothes,Adult,160.0,0.0
2023-06-29,Transport,Public transport,5.5,0.0
2023-06-29,Groceries,Not specified,23.0,0.0
2023-06-30,Other,Not specified,74.0,0.0
2023-06-30,Transport,Taxi,87.0,0.0
2023-07-01,Subscriptions,Not specified,32.0,0.0
2023-07-01,Subscriptions,Not specified,18.55,0.0
2023-07-01,Subscriptions,Not specified,149.0,0.0
2023-07-01,Health,Medical services,112.0,0.0
2023-07-02,Transport,Public transport,5.5,0.0
2023-07-02,Transport,Public transport,5.5,0.0
2023-07-03,Transport,Public transport,5.5,0.0
2023-07-04,Gifts,Not specified,0.0,724.0
2023-07-04,Hygiene,Not specified,23.0,0.0
2023-07-04,Hygiene,Not specified,142.0,0.0
2023-07-04,Groceries,Not specified,39.0,0.0
2023-07-04,Groceries,Not specified,20.0,0.0
2023-07-06,Groceries,Not specified,39.0,0.0
2023-07-06,Groceries,Not specified,13.0,0.0
2023-07-07,Subscriptions,Not specified,20.0,0.0
2023-07-08,Groceries,Not specified,12.0,0.0
2023-07-09,House,Rent,4000.0,0.0
2023-07-09,Groceries,Not specified,177.0,0.0
2023-07-09,Groceries,Not specified,25.0,0.0
2023-07-09,Groceries,Not specified,5.2,0.0
2023-07-10,Health,Insurance,188.0,0.0
2023-07-10,Transport,Public transport,42.0,0.0
2023-07-10,Refund,Not specified,0.0,700.0
2023-07-10,Groceries,Not specified,59.0,0.0
2023-07-10,Health,Pharmacy,70.0,0.0
2023-07-11,Groceries,Not specified,65.0,0.0
2023-07-11,Groceries,Not specified,28.0,0.0
2023-07-12,Subscriptions,Not specified,54.71,0.0
2023-07-12,Groceries,Not specified,113.0,0.0
2023-07-13,Transport,Public transport,5.5,0.0
2023-07-13,Eating out,Lunch,242.0,0.0
2023-07-13,Transport,Public transport,5.5,0.0
2023-07-15,Health,Medical services,112.26,0.0
2023-07-16,Groceries,Not specified,13.0,0.0
2023-07-16,Groceries,Not specified,22.0,0.0
2023-07-16,Groceries,Not specified,22.0,0.0
