Date,Category,Subcategory,Expenses,Income
2023-11-09,Leisure,Books,15.0,0.0
2023-11-10,Health,Insurance,188.0,0.0
2023-11-10,Transport,Taxi,106.0,0.0
2023-11-10,Eating out,Food delivery,248.0,0.0
2023-11-10,Leisure,Videogames,64.0,0.0
2023-11-11,Eating out,Food delivery,182.0,0.0
2023-11-11,Leisure,Books,33.0,0.0
2023-11-11,Leisure,Books,15.0,0.0
2023-11-12,Subscriptions,Not specified,58.06,0.0
2023-11-14,Groceries,Not specified,5.0,0.0
2023-11-15,Salary,Salary,0.0,3579.0
2023-11-15,Savings,Not specified,500.0,0.0
2023-11-15,Charity,Not specified,100.0,0.0
2023-11-15,Health,Pharmacy,37.1,0.0
2023-11-15,Other,Not specified,172.0,0.0
2023-11-16,Groceries,Not specified,69.0,0.0
2023-11-16,Eating out,Lunch,155.0,0.0
2023-11-16,Eating out,Food delivery,153.0,0.0
2023-11-17,Gifts,Not specified,306.0,0.0
2023-11-17,Gifts,Not specified,122.5,0.0
2023-11-18,Gifts,Not specified,399.0,0.0
2023-11-21,Eating out,Food delivery,94.0,0.0
2023-11-21,Salary,Salary,0.0,3556.0
2023-11-22,Appliances,Electronics,2292.0,0.0
2023-11-22,Savings,Not specified,2000.0,0.0
2023-11-22,Groceries,Not specified,169.0,0.0
2023-11-23,Gifts,Not specified,64.0,0.0
2023-11-23,Eating out,Food delivery,137.0,0.0
2023-11-25,Subscriptions,Not specified,4.0,0.0
2023-11-25,Eating out,Food delivery,260.0,0.0
2023-11-26,Beauty,Cosmetics,24.0,0.0
2023-11-26,Health,Inventory,1459.0,0.0
2023-11-26,Gifts,Not specified,52.0,0.0
2023-11-26,Other,Not specified,50.0,0.0
2023-11-28,Eating out,Food delivery,151.0,0.0
2023-11-29,Salary,Salary,0.0,3499.33
2023-11-29,Business services,Not specified,250.0,0.0
2023-11-29,Savings,Not specified,1000.0,0.0
2023-11-29,Clothes,Adult,571.0,0.0
2023-11-30,Other,Not specified,47.0,0.0
2023-11-30,Eating out,Food delivery,217.0,0.0
2023-12-01,Subscriptions,Not specified,32.0,0.0
2023-12-01,Subscriptions,Not specified,37.17,0.0
2023-12-02,Health,Medical services,111.0,0.0
2023-12-02,Eating out,Food delivery,113.0,0.0
2023-12-02,Charity,Not specified,200.0,0.0
2023-12-03,Transport,Public transport,5.5,0.0
2023-12-03,Pets,Veterinary,250.0,0.0
2023-12-03,House,Not specified,956.0,0.0
2023-12-03,Transport,Taxi,85.0,0.0
2023-12-03,Transport,Taxi,84.0,0.0
2023-12-03,Leisure,Videogames,35.0,0.0
2023-12-04,Health,Medical services,350.0,0.0
2023-12-05,Business services,Not specified,125.0,0.0
2023-12-05,State,Taxes,147.0,0.0
2023-12-05,Salary,Salary,0.0,3675.0
2023-12-05,Charity,Not specified,100.0,0.0
2023-12-06,Groceries,Not specified,21.0,0.0
2023-12-06,Groceries,Not specified,39.0,0.0
2023-12-07,Subscriptions,Not specified,20.0,0.0
2023-12-07,Gifts,Not specified,200.0,0.0
2023-12-08,Transport,Public transport,5.5,0.0
2023-12-08,Clothes,Accesories,180.0,0.0
2023-12-08,Transport,Public transport,5.5,0.0
2023-12-08,Eating out,Food delivery,212.0,0.0
2023-12-09,House,Rent,4000.0,0.0
2023-12-10,Health,Insurance,188.0,0.0
2023-12-10,Eating out,Food delivery,125.0,0.0
2023-12-10,Health,Pharmacy,68.5,0.0
2023-12-11,State,Taxes,177.0,0.0
2023-12-11,Groceries,Not specified,195.0,0.0
2023-12-12,Gifts,Not specified,100.0,0.0
2023-12-12,Salary,Salary,0.0,3451.66
2023-12-12,Eating out,Food delivery,67.0,0.0
2023-12-12,Eating out,Food delivery,243.0,0.0
2023-12-13,Health,Pharmacy,30.0,0.0
2023-12-13,Health,Medical services,300.0,0.0
2023-12-14,Groceries,Not specified,68.67,0.0
2023-12-14,Other,Not specified,210.0,0.0
2023-12-14,Beauty,Cosmetics,144.0,0.0
2023-12-15,Transport,Taxi,95.0,0.0
2023-12-17,Groceries,Not specified,181.0,0.0
2023-12-17,Eating out,Food delivery,117.0,0.0
2023-12-18,Gifts,Not specified,399.0,0.0
2023-12-18,Transport,Public transport,5.5,0.0
2023-12-18,Groceries,Not specified,52.0,0.0
2023-12-19,Salary,Salary,0.0,3897.73
2023-12-19,Health,Sport,120.0,0.0
2023-12-20,Eating out,Food delivery,118.0,0.0
2023-12-21,Eating out,Food delivery,138.0,0.0
2023-12-21,Groceries,Not specified,177.65,0.0
2023-12-21,Groceries,Not specified,16.0,0.0
2023-12-22,Appliances,Electronics,2290.0,0.0
2023-12-22,Transport,Public transport,5.5,0.0
2023-12-22,Leisure,Books,283.5,0.0
2023-12-22,Groceries,Not specified,15.0,0.0
2023-12-22,Health,Pharmacy,37.08,0.0
2023-12-22,Transport,Public transport,5.5,0.0
2023-12-23,Health,Medical services,107.63,0.0
2023-12-24,Eating out,Food delivery,132.0,0.0
2023-12-24,Groceries,Not specified,100.0,0.0
2023-12-25,Subscriptions,Not specified,4.0,0.0
2023-12-26,Refund,Not specified,0.0,587.1
2023-12-26,Transport,Public transport,5.5,0.0
2023-12-26,Eating out,Food delivery,93.0,0.0
2023-12-26,Salary,Salary,0.0,3581.43
2023-12-26,Savings,Not specified,500.0,0.0
2023-12-27,Gifts,Not specified,354.0,0.0
2023-12-27,Hygiene,Not specified,156.0,0.0
2023-12-28,Gifts,Not specified,75.0,0.0
2023-12-28,Eating out,Food delivery,94.0,0.0
2023-12-29,Health,Pharmacy,25.0,0.0
2023-12-29,Groceries,Not specified,35.5,0.0
2023-12-29,Charity,Not specified,50.0,0.0
2023-12-29,Gifts,Not specified,200.0,0.0
2023-12-31,Savings,Not specified,1500.0,0.0
2023-12-31,Groceries,Not specified,22.0,0.0
2023-12-31,Groceries,Not specified,14.0,0.0
2023-12-31,Groceries,Not specified,19.0,0.0
2023-12-31,Eating out,Food delivery,95.0,0.0
