Date,Amount,Currency,Original amount,Original Currency,Category,Subcategory,Tags,User,Place
9.12.2023,-4000.0,ILS,-4000.0,ILS,House,Rent,,Anna,
10.12.2023,-188.0,ILS,-188.0,ILS,Health,Insurance,,Anna,
10.12.2023,-125.0,ILS,-125.0,ILS,Eating out,Food delivery,,Anna,
10.12.2023,-68.5,ILS,-68.5,ILS,Health,Pharmacy,,Anna,
11.12.2023,-177.0,ILS,-177.0,ILS,State,Taxes,,Anna,
11.12.2023,-195.0,ILS,-195.0,ILS,Groceries,,,Anna,
12.12.2023,-100.0,ILS,-100.0,ILS,Gifts,,,Anna,
12.12.2023,3451.66,ILS,3451.66,ILS,Salary,Salary,,Anna,
12.12.2023,-67.0,ILS,-67.0,ILS,Eating out,Food delivery,,Anna,
12.12.2023,-243.0,ILS,-243.0,ILS,Eating out,Food delivery,,Anna,
13.12.2023,-30.0,ILS,-30.0,ILS,Health,Pharmacy,,Anna,
13.12.2023,-300.0,ILS,-300.0,ILS,Health,Medical services,,Anna,
14.12.2023,-68.67,ILS,-68.67,ILS,Groceries,,,Anna,
14.12.2023,-210.0,ILS,-210.0,ILS,Other,,,Anna,
14.12.2023,-144.0,ILS,-144.0,ILS,Beauty,Cosmetics,,Anna,
15.12.2023,-95.0,ILS,-95.0,ILS,Transport,Taxi,,Anna,
17.12.2023,-181.0,ILS,-181.0,ILS,Groceries,,,Anna,
17.12.2023,-117.0,ILS,-117.0,ILS,Eating out,Food delivery,,Anna,
18.12.2023,-399.0,ILS,-399.0,ILS,Gifts,,,Anna,
18.12.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
18.12.2023,-52.0,ILS,-52.0,ILS,Groceries,,,Anna,
19.12.2023,3897.73,ILS,3897.73,ILS,Salary,Salary,,Anna,
19.12.2023,-120.0,ILS,-120.0,ILS,Health,Sport,,Anna,
20.12.2023,-118.0,ILS,-118.0,ILS,Eating out,Food delivery,,Anna,
21.12.2023,-138.0,ILS,-138.0,ILS,Eating out,Food delivery,,Anna,
21.12.2023,-177.65,ILS,-177.65,ILS,Groceries,,,Anna,
21.12.2023,-16.0,ILS,-16.0,ILS,Groceries,,,Anna,
22.12.2023,-2290.0,ILS,-2290.0,ILS,Appliances,Electronics,,Anna,
22.12.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
22.12.2023,-283.5,ILS,-283.5,ILS,Leisure,Books,,Anna,
22.12.2023,-15.0,ILS,-15.0,ILS,Groceries,,,Anna,
22.12.2023,-37.08,ILS,-37.08,ILS,Health,Pharmacy,,Anna,
22.12.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
23.12.2023,-107.63,ILS,-107.63,ILS,Health,Medical services,,Anna,
24.12.2023,-132.0,ILS,-132.0,ILS,Eating out,Food delivery,,Anna,
24.12.2023,-100.0,ILS,-100.0,ILS,Groceries,,,Anna,
25.12.2023,-4.0,ILS,-4.0,ILS,Subscriptions,,,Anna,
26.12.2023,587.1,ILS,587.1,ILS,Refund,,,Anna,
26.12.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
26.12.2023,-93.0,ILS,-93.0,ILS,Eating out,Food delivery,,Anna,
26.12.2023,3581.43,ILS,3581.43,ILS,Salary,Salary,,Anna,
26.12.2023,-500.0,ILS,-500.0,ILS,Savings,,,Anna,
27.12.2023,-354.0,ILS,-354.0,ILS,Gifts,,,Anna,
27.12.2023,-156.0,ILS,-156.0,ILS,Hygiene,,,Anna,
28.12.2023,-75.0,ILS,-75.0,ILS,Gifts,,,Anna,
28.12.2023,-94.0,ILS,-94.0,ILS,Eating out,Food delivery,,Anna,
29.12.2023,-25.0,ILS,-25.0,ILS,Health,Pharmacy,,Anna,
29.12.2023,-35.5,ILS,-35.5,ILS,Groceries,,,Anna,
29.12.2023,-50.0,ILS,-50.0,ILS,Charity,,,Anna,
29.12.2023,-200.0,ILS,-200.0,ILS,Gifts,,,Anna,
31.12.2023,-1500.0,ILS,-1500.0,ILS,Savings,,,Anna,
31.12.2023,-22.0,ILS,-22.0,ILS,Groceries,,,Anna,
31.12.2023,-14.0,ILS,-14.0,ILS,Groceries,,,Anna,
31.12.2023,-19.0,ILS,-19.0,ILS,Groceries,,,Anna,
31.12.2023,-95.0,ILS,-95.0,ILS,Eating out,Food delivery,,Anna,
